#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2021 12 19 14 15  MM  2.1   MM    MM    MM    MM  MM     MM    22    MM    19  8.7   MM    MM
2021 12 19 13 55  MM  2.6   MM    MM    MM    MM  MM     MM    23    MM    20  8.7   MM    MM
2021 12 19 13 35  MM  2.1   MM    MM    MM    MM  MM     MM    23    MM    20  8.7   MM    MM
2021 12 19 13 15  MM    0   MM    MM    MM    MM  MM     MM    22    MM    20  8.7   MM    MM
2021 12 19 12 55  MM    0   MM    MM    MM    MM  MM     MM    22    MM    20  8.7   MM    MM
2021 12 19 12 35  MM    0   MM    MM    MM    MM  MM     MM    23    MM    20  8.7   MM    MM
2021 12 19 12 15  80  2.1   MM    MM    MM    MM  MM     MM    22    MM    20  8.7   MM    MM
2021 12 19 11 55 130  3.6   MM    MM    MM    MM  MM     MM    22    MM    20  8.7   MM    MM
2021 12 19 11 35 130  4.6   MM    MM    MM    MM  MM     MM    22    MM    20  8.7   MM    MM
2021 12 19 11 15 120  4.1   MM    MM    MM    MM  MM     MM    22    MM    19  8.7   MM    MM
2021 12 19 10 55  60  5.1   MM    MM    MM    MM  MM     MM    21    MM    19  8.7   MM    MM
2021 12 19 10 35  50  3.1   MM    MM    MM    MM  MM     MM    21    MM    19  8.7   MM    MM
2021 12 19 10 15  60  6.2   MM    MM    MM    MM  MM     MM    21    MM    19  8.7   MM    MM
2021 12 19 09 55  MM  2.1  8.8    MM    MM    MM  MM     MM    21    MM    19  8.7   MM    MM
2021 12 19 09 35  MM  1.5   MM    MM    MM    MM  MM     MM    21    MM    19  7.8   MM    MM
2021 12 19 09 15  MM  2.6   MM    MM    MM    MM  MM     MM    21    MM    19  8.7   MM    MM
2021 12 19 08 55  MM  2.6  5.7    MM    MM    MM  MM     MM    21    MM    20  6.1   MM    MM
2021 12 19 08 35 300  5.1 11.3    MM    MM    MM  MM     MM    21    MM    20  0.4   MM    MM
2021 12 19 08 15  MM  6.7 12.9    MM    MM    MM  MM     MM    23    MM    21  7.0   MM    MM
2021 12 19 07 55 210  4.1   MM    MM    MM    MM  MM     MM    24    MM    21  8.7   MM    MM
2021 12 19 07 35  MM  2.6   MM    MM    MM    MM  MM     MM    24    MM    21  8.7   MM    MM
2021 12 19 07 15   0   MM  5.1    MM    MM    MM  MM     MM    24    MM    20  8.7   MM    MM
2021 12 19 06 55 220  3.6   MM    MM    MM    MM  MM     MM    24    MM    20  8.7   MM    MM
2021 12 19 06 35 220  4.1   MM    MM    MM    MM  MM     MM    24    MM    21  8.7   MM    MM
2021 12 19 06 15 220  3.6   MM    MM    MM    MM  MM     MM    24    MM    21  8.7   MM    MM
2021 12 19 05 55  MM  3.1   MM    MM    MM    MM  MM     MM    23    MM    22  8.7   MM    MM
2021 12 19 05 35  MM  3.1  6.2    MM    MM    MM  MM     MM    24    MM    23  7.8   MM    MM
2021 12 19 05 15 200  5.7   MM    MM    MM    MM  MM     MM    24    MM    23  7.8   MM    MM
2021 12 19 04 55 210  5.7   MM    MM    MM    MM  MM     MM    24    MM    23  1.3   MM    MM
2021 12 19 04 35 210  5.1   MM    MM    MM    MM  MM     MM    24    MM    23  6.1   MM    MM
2021 12 19 04 15 200  6.2   MM    MM    MM    MM  MM     MM    24    MM    23  6.1   MM    MM
2021 12 19 03 55 200  5.1   MM    MM    MM    MM  MM     MM    24    MM    23  6.1   MM    MM
2021 12 19 03 35 200  5.1   MM    MM    MM    MM  MM     MM    24    MM    23  6.1   MM    MM
2021 12 19 03 15  MM  3.1  6.7    MM    MM    MM  MM     MM    24    MM    23  6.1   MM    MM
2021 12 19 02 55 190  4.6  7.2    MM    MM    MM  MM     MM    24    MM    23  5.2   MM    MM
2021 12 19 02 35 200  5.7   MM    MM    MM    MM  MM     MM    24    MM    23  4.3   MM    MM
2021 12 19 02 15 210  6.7   MM    MM    MM    MM  MM     MM    24    MM    23  6.1   MM    MM
2021 12 19 01 55 210  7.7   MM    MM    MM    MM  MM     MM    24    MM    23  6.1   MM    MM
2021 12 19 01 35 210  6.7   MM    MM    MM    MM  MM     MM    24    MM    22  8.7   MM    MM
2021 12 19 01 15 210  6.2   MM    MM    MM    MM  MM     MM    24    MM    22  7.8   MM    MM
2021 12 19 00 55 210  5.7   MM    MM    MM    MM  MM     MM    24    MM    22  8.7   MM    MM
2021 12 19 00 35 200  6.7   MM    MM    MM    MM  MM     MM    24    MM    22  7.0   MM    MM
2021 12 19 00 15 190  5.1   MM    MM    MM    MM  MM     MM    24    MM    22  6.1   MM    MM
2021 12 18 23 55 190  5.7   MM    MM    MM    MM  MM     MM    24    MM    22  7.8   MM    MM
2021 12 18 23 35 190  5.7   MM    MM    MM    MM  MM     MM    24    MM    22  7.0   MM    MM
2021 12 18 23 15 200  4.6   MM    MM    MM    MM  MM     MM    24    MM    22  5.2   MM    MM
2021 12 18 22 55 210  6.2   MM    MM    MM    MM  MM     MM    24    MM    22  8.7   MM    MM
2021 12 18 22 35  MM  3.6  7.2    MM    MM    MM  MM     MM    24    MM    22  5.2   MM    MM
2021 12 18 22 15 210  6.7   MM    MM    MM    MM  MM     MM    24    MM    22  5.2   MM    MM
2021 12 18 21 55 210  6.7   MM    MM    MM    MM  MM     MM    24    MM    22  7.0   MM    MM
2021 12 18 21 35 210  7.7   MM    MM    MM    MM  MM     MM    24    MM    22  6.1   MM    MM
2021 12 18 21 15 200 10.8   MM    MM    MM    MM  MM     MM    24    MM    22  4.3   MM    MM
2021 12 18 20 55 200  8.2   MM    MM    MM    MM  MM     MM    24    MM    23  3.5   MM    MM
2021 12 18 20 35 200  9.3   MM    MM    MM    MM  MM     MM    24    MM    23  3.5   MM    MM
2021 12 18 20 15 200  5.7   MM    MM    MM    MM  MM     MM    24    MM    23  4.3   MM    MM
2021 12 18 19 55 200  5.1  7.7    MM    MM    MM  MM     MM    24    MM    22  5.2   MM    MM
2021 12 18 19 35 180  5.1  7.7    MM    MM    MM  MM     MM    24    MM    22  7.0   MM    MM
2021 12 18 19 15 160  4.6  7.7    MM    MM    MM  MM     MM    24    MM    22  7.8   MM    MM
2021 12 18 18 55 150  5.7   MM    MM    MM    MM  MM     MM    24    MM    22  7.8   MM    MM
2021 12 18 18 35 150  5.1  8.2    MM    MM    MM  MM     MM    24    MM    22  8.7   MM    MM
2021 12 18 18 15 160  6.2   MM    MM    MM    MM  MM     MM    24    MM    22  7.8   MM    MM
2021 12 18 17 55 160  6.2   MM    MM    MM    MM  MM     MM    24    MM    22  7.0   MM    MM
2021 12 18 17 35 170  4.1  6.7    MM    MM    MM  MM     MM    24    MM    22  4.3   MM    MM
2021 12 18 17 15 160  5.1   MM    MM    MM    MM  MM     MM    24    MM    22  4.3   MM    MM
2021 12 18 16 55 150  6.2   MM    MM    MM    MM  MM     MM    24    MM    22  4.3   MM    MM
2021 12 18 16 35 150  6.7   MM    MM    MM    MM  MM     MM    24    MM    22  5.2   MM    MM
2021 12 18 16 15 150  6.2   MM    MM    MM    MM  MM     MM    24    MM    22  6.1   MM    MM
2021 12 18 15 55 150  6.2   MM    MM    MM    MM  MM     MM    24    MM    22  4.3   MM    MM
2021 12 18 15 35 150  6.2   MM    MM    MM    MM  MM     MM    24    MM    23  4.3   MM    MM
2021 12 18 15 15 150  5.7   MM    MM    MM    MM  MM     MM    24    MM    23  3.5   MM    MM
2021 12 18 14 55 160  5.7  8.8    MM    MM    MM  MM     MM    24    MM    23  3.5   MM    MM
2021 12 18 14 35 150  7.2   MM    MM    MM    MM  MM     MM    24    MM    23  4.3   MM    MM
2021 12 18 14 15 150  6.7   MM    MM    MM    MM  MM     MM    24    MM    22  5.2   MM    MM
2021 12 18 13 55 160  5.1  8.2    MM    MM    MM  MM     MM    24    MM    22  5.2   MM    MM
2021 12 18 13 35 150  6.7   MM    MM    MM    MM  MM     MM    23    MM    22  3.5   MM    MM
2021 12 18 13 15 160  5.7   MM    MM    MM    MM  MM     MM    23    MM    22  3.5   MM    MM
2021 12 18 12 55 170  5.7   MM    MM    MM    MM  MM     MM    23    MM    22  4.3   MM    MM
2021 12 18 12 35 170  5.1  8.8    MM    MM    MM  MM     MM    23    MM    22  4.3   MM    MM
2021 12 18 12 15 160  5.7   MM    MM    MM    MM  MM     MM    23    MM    22  4.3   MM    MM
2021 12 18 11 55 170  5.1  8.8    MM    MM    MM  MM     MM    23    MM    22  5.2   MM    MM
2021 12 18 11 35 160  6.2   MM    MM    MM    MM  MM     MM    23    MM    22  4.3   MM    MM
2021 12 18 11 15 160  5.7   MM    MM    MM    MM  MM     MM    23    MM    22  5.2   MM    MM
2021 12 18 10 55 150  6.2   MM    MM    MM    MM  MM     MM    23    MM    22  5.2   MM    MM
2021 12 18 10 35 150  5.1  7.7    MM    MM    MM  MM     MM    23    MM    22  7.8   MM    MM
2021 12 18 10 15 160  4.6   MM    MM    MM    MM  MM     MM    23    MM    22  8.7   MM    MM
2021 12 18 09 55 160  6.7   MM    MM    MM    MM  MM     MM    23    MM    22  7.0   MM    MM
2021 12 18 09 35 150  5.1   MM    MM    MM    MM  MM     MM    23    MM    22  6.1   MM    MM
2021 12 18 09 15 160  4.1  7.2    MM    MM    MM  MM     MM    23    MM    22  7.0   MM    MM
2021 12 18 08 55 170  5.1   MM    MM    MM    MM  MM     MM    23    MM    22  8.7   MM    MM
